subfamily,tip_label,male_MW,male_ML,queen_MW,queen_ML,colony_size,queen_number_continuous,caste_number
Formicinae,Nylanderia.lepida,0.475609756,0.715686275,0.978021978,1.37,NA,NA,NA
Formicinae,Nylanderia.mixta,0.5,0.863636364,1.134020619,0.869565217,NA,NA,NA
Formicinae,Nylanderia.phantasma,0.487179487,0.783018868,1.053333333,1.5,100,NA,1
Formicinae,Nylanderia.pubens,0.742857143,1.131578947,0.984375,1.635135135,NA,NA,NA
Formicinae,Nylanderia.sikorae,0.375,0.943396226,0.810810811,1.4625,NA,NA,NA
Formicinae,Nylanderia.silvula,0.75,1.132075472,1.236842105,1.808219178,NA,NA,NA
Formicinae,Nylanderia.sindbadi,0.5,0.860465116,0.939393939,1.630769231,NA,NA,NA
Formicinae,Nylanderia.steinheili,0.414285714,0.852272727,0.865168539,1.321428571,143,NA,1
Formicinae,Nylanderia.vividula,0.455882353,0.794117647,0.846153846,1.714285714,NA,NA,1
Formicinae,Nylanderia.wojciki,0.397959184,0.726415094,0.7125,0.604651163,100,NA,1
Dolichoderinae,Ochetellus.glaber,1.113636364,0.863636364,1,1.571428571,416,NA,1
Myrmicinae,Ochetomyrmex.semipolitus,1.113636364,1.727272727,1.277777778,2.323076923,NA,NA,NA
Myrmicinae,Ocymyrmex.fortior,1.55,1.829268293,1.057692308,2.086206897,NA,NA,NA
Ponerinae,Odontomachus.affinis,1.666666667,3.357142857,1.709677419,4.821428571,NA,NA,1
Ponerinae,Odontomachus.assiniensis,1.476190476,3.347826087,1.806451613,4.225806452,NA,NA,NA
Ponerinae,Odontomachus.bauri,1.509433962,2.2,1.333333333,3.308641975,300,NA,1
Ponerinae,Odontomachus.monticola,1.435185185,3.279569892,1.525974026,4.217391304,NA,NA,NA
Ponerinae,Odontomachus.ruficeps,1.193548387,3.018867925,1.255319149,3.043478261,NA,NA,NA
Ponerinae,Odontomachus.ruginodis,1.096774194,2.161290323,1.306930693,2.8,200,NA,1
Ponerinae,Odontomachus.simillimus,1.2,2.553846154,1.18,2.797297297,NA,NA,NA
Ponerinae,Odontomachus.troglodytes,1.161290323,2.677419355,1.341176471,3.223529412,245,NA,1
Amblyoponinae,Stigmatomma.glauerti,0.829268,1.333333,0.746478873,1.666666667,NA,NA,NA
Ponerinae,Pachycondyla.harpax,1.433962,2.903226,1.515151515,3.384615385,NA,NA,NA
Ponerinae,Pachycondyla.striata,2.058824,3.75,2.708333333,5.416666667,36.7,2.36,1
Ponerinae,Paltothyreus.tarsatus,2.133333,3.4,4,9.0625,600,NA,1
Dolichoderinae,Papyrius.nitidus,0.711538,1.595238,0.877192982,2.529411765,NA,NA,NA
